KO	KO_description
K06969	rlmI; 23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191]
K06971	K06971; uncharacterized protein
K06972	PITRM1, PreP, CYM1; presequence protease [EC:3.4.24.-]
K06973	K06973; uncharacterized protein
K06974	amzA, AMZ2, AMZ1; archaemetzincin [EC:3.4.-.-]
K06975	K06975; uncharacterized protein
K06976	K06976; uncharacterized protein
K06977	K06977; uncharacterized protein
K06978	K06978; uncharacterized protein
K06979	mph; macrolide phosphotransferase
K06980	ygfZ; tRNA-modifying protein YgfZ
K06981	ipk; isopentenyl phosphate kinase [EC:2.7.4.26]
K06982	pok; pantoate kinase [EC:2.7.1.169]
K06983	K06983; uncharacterized protein
K06984	K06984; beta-ribofuranosylaminobenzene 5'-phosphate synthase [EC:2.4.2.54]
K06985	K06985; aspartyl protease family protein
K06986	K06986; uncharacterized protein
K06987	K06987; uncharacterized protein
K06988	fno; 8-hydroxy-5-deazaflavin:NADPH oxidoreductase [EC:1.5.1.40]
K06989	nadX, ASPDH; aspartate dehydrogenase [EC:1.4.1.21]
K06990	MEMO1; MEMO1 family protein
K06991	K06991; uncharacterized protein
K06992	K06992; uncharacterized protein
K06994	K06994; putative drug exporter of the RND superfamily
K06995	K06995; uncharacterized protein
K06996	K06996; uncharacterized protein
K06997	yggS, PROSC; PLP dependent protein
K06998	phzF; trans-2,3-dihydro-3-hydroxyanthranilate isomerase [EC:5.3.3.17]
K06999	K06999; phospholipase/carboxylesterase
K07000	K07000; uncharacterized protein
K07001	K07001; NTE family protein
K07002	K07002; uncharacterized protein
K07003	K07003; uncharacterized protein
K07004	K07004; uncharacterized protein
K07005	K07005; uncharacterized protein
K07006	K07006; uncharacterized protein
K07008	egtC; gamma-glutamyl hercynylcysteine S-oxide hydrolase [EC:3.5.1.118]
K07009	gatD; lipid II isoglutaminyl synthase (glutamine-hydrolysing) [EC:6.3.5.13]
K07010	K07010; putative glutamine amidotransferase
K07012	cas3; CRISPR-associated endonuclease/helicase Cas3 [EC:3.1.-.- 3.6.4.-]
K07013	K07013; uncharacterized protein
K07015	K07015; uncharacterized protein
K07017	K07017; uncharacterized protein
K07018	K07018; uncharacterized protein
K07019	K07019; uncharacterized protein
K07020	K07020; uncharacterized protein
K07023	K07023; putative hydrolases of HD superfamily
K07024	SPP; sucrose-6-phosphatase [EC:3.1.3.24]
K07025	K07025; putative hydrolase of the HAD superfamily
K07026	E3.1.3.70; mannosyl-3-phosphoglycerate phosphatase [EC:3.1.3.70]
K07027	K07027; glycosyltransferase 2 family protein
K07028	K07028; uncharacterized protein
K07029	dagK; diacylglycerol kinase (ATP) [EC:2.7.1.107]
K07030	K07030; uncharacterized protein
K07031	hddA; D-glycero-alpha-D-manno-heptose-7-phosphate kinase [EC:2.7.1.168]
K07032	K07032; uncharacterized protein
K07034	K07034; uncharacterized protein
K07037	pgpH; cyclic-di-AMP phosphodiesterase PgpH [EC:3.1.4.-]
K07038	K07038; inner membrane protein
K07039	K07039; uncharacterized protein
K07040	K07040; uncharacterized protein
K07041	K07041; uncharacterized protein
K07042	ybeY, yqfG; probable rRNA maturation factor
K07043	upp; UTP pyrophosphatase [EC:3.6.1.-]
K07044	K07044; uncharacterized protein
K07045	K07045; uncharacterized protein
K07046	K07046; L-fuconolactonase [EC:3.1.1.-]
K07048	PTER, php; phosphotriesterase-related protein
K07050	AARSD1, ALAX; misacylated tRNA(Ala) deacylase [EC:3.1.1.-]
K07051	K07051; uncharacterized protein
K07052	K07052; uncharacterized protein
K07053	E3.1.3.97; 3',5'-nucleoside bisphosphate phosphatase [EC:3.1.3.97]
K07054	K07054; uncharacterized protein
K07056	rsmI; 16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198]
K07057	bpsA; N4-bis(aminopropyl)spermidine synthase [EC:2.5.1.128]
K07058	K07058; membrane protein
K07059	K07059; uncharacterized protein
K07060	nob1; endoribonuclease Nob1 [EC:3.1.-.-]
K07061	cmr1; CRISPR-associated protein Cmr1
K07062	fitB; toxin FitB [EC:3.1.-.-]
K07063	K07063; uncharacterized protein
K07064	K07064; uncharacterized protein
K07065	K07065; uncharacterized protein
K07066	K07066; uncharacterized protein
K07067	disA; diadenylate cyclase [EC:2.7.7.85]
K07068	K07068; uncharacterized protein
K07069	K07069; uncharacterized protein
K07071	K07071; uncharacterized protein
K07072	mfnF; (4-(4-[2-(gamma-L-glutamylamino)ethyl]phenoxymethyl)furan-2-yl)methanamine synthase [EC:2.5.1.131]
K07074	K07074; uncharacterized protein
K07075	K07075; uncharacterized protein
K07076	K07076; uncharacterized protein
K07077	K07077; uncharacterized protein
K07079	K07079; uncharacterized protein
K07080	K07080; uncharacterized protein
K07082	K07082; UPF0755 protein
K07084	yuiF; putative amino acid transporter
K07085	K07085; putative transport protein
K07086	K07086; uncharacterized protein
K07089	K07089; uncharacterized protein
K07090	K07090; uncharacterized protein
K07091	lptF; lipopolysaccharide export system permease protein
K07092	K07092; uncharacterized protein
K07093	K07093; uncharacterized protein
K07095	K07095; uncharacterized protein
K07096	K07096; uncharacterized protein
K07097	K07097; uncharacterized protein
K07098	K07098; uncharacterized protein
K07099	K07099; uncharacterized protein
K07100	K07100; putative phosphoribosyl transferase
K07101	K07101; uncharacterized protein
K07102	amgK; N-acetylmuramate 1-kinase [EC:2.7.1.221]
K07104	catE; catechol 2,3-dioxygenase [EC:1.13.11.2]
K07106	murQ; N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126]
K07107	ybgC; acyl-CoA thioester hydrolase [EC:3.1.2.-]
K07108	K07108; uncharacterized protein
K07110	ramB; XRE family transcriptional regulator, fatty acid utilization regulator
K07112	K07112; uncharacterized protein
K07113	fxsA; UPF0716 protein FxsA
K07114	yfbK; Ca-activated chloride channel homolog
K07115	rlmJ; 23S rRNA (adenine2030-N6)-methyltransferase [EC:2.1.1.266]
K07116	pvdQ, quiP; acyl-homoserine-lactone acylase [EC:3.5.1.97]
K07117	K07117; uncharacterized protein
K07118	K07118; uncharacterized protein
K07120	K07120; uncharacterized protein
K07121	K07121; uncharacterized protein
K07122	mlaB; phospholipid transport system transporter-binding protein
K07123	K07123; uncharacterized protein
K07124	K07124; uncharacterized protein
K07126	K07126; uncharacterized protein
K07127	uraH, pucM, hiuH; 5-hydroxyisourate hydrolase [EC:3.5.2.17]
K07130	kynB; arylformamidase [EC:3.5.1.9]
K07131	K07131; uncharacterized protein
K07133	K07133; uncharacterized protein
K07136	K07136; uncharacterized protein
K07137	K07137; uncharacterized protein
K07138	K07138; uncharacterized protein
K07140	K07140; uncharacterized protein
K07141	mocA; molybdenum cofactor cytidylyltransferase [EC:2.7.7.76]
K07142	mptE; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]
K07143	K07143; UPF0148 protein
K07144	mfnE; 5-(aminomethyl)-3-furanmethanol phosphate kinase [EC:2.7.4.31]
K07145	isdG, isdI; heme oxygenase (staphylobilin-producing) [EC:1.14.99.48]
K07146	K07146; UPF0176 protein
K07147	msrP; methionine sulfoxide reductase catalytic subunit [EC:1.8.-.-]
K07148	K07148; uncharacterized protein
K07149	K07149; uncharacterized protein
K07150	K07150; uncharacterized protein
K07151	STT3; dolichyl-diphosphooligosaccharide---protein glycosyltransferase [EC:2.4.99.18]
K07152	SCO1; protein SCO1
K07153	hflD; high frequency lysogenization protein
K07154	hipA; serine/threonine-protein kinase HipA [EC:2.7.11.1]
K07155	qodI; quercetin 2,3-dioxygenase [EC:1.13.11.24]
K07156	copC, pcoC; copper resistance protein C
K07157	K07157; uncharacterized protein
K07158	K07158; uncharacterized protein
K07159	K07159; uncharacterized protein
K07160	pxpA; 5-oxoprolinase (ATP-hydrolysing) subunit A [EC:3.5.2.9]
K07161	K07161; uncharacterized protein
K07164	K07164; uncharacterized protein
K07165	fecR; transmembrane sensor
K07166	K07166; ACT domain-containing protein
K07167	chrR; putative transcriptional regulator
K07168	K07168; CBS domain-containing membrane protein
K07171	mazF, ndoA, chpA; mRNA interferase MazF [EC:3.1.-.-]
K07172	mazE, chpAI; antitoxin MazE
K07173	luxS; S-ribosylhomocysteine lyase [EC:4.4.1.21]
K07175	phoH2; PhoH-like ATPase
K07176	K07176; putative serine/threonine protein kinase
K07177	K07177; Lon-like protease
K07178	RIOK1; RIO kinase 1 [EC:2.7.11.1]
K07179	RIOK2; RIO kinase 2 [EC:2.7.11.1]
K07180	prkA; serine protein kinase
K07181	cdgJ; c-di-GMP phosphodiesterase [EC:3.1.4.52]
K07182	K07182; CBS domain-containing protein
K07183	nasT; two-component system, response regulator / RNA-binding antiterminator
K07190	PHKA_B; phosphorylase kinase alpha/beta subunit
K07192	FLOT; flotillin
K07213	ATOX1, ATX1, copZ, golB; copper chaperone
K07214	fes; iron(III)-enterobactin esterase [EC:3.1.1.108]
K07215	pigA, hemO; heme oxygenase (biliverdin-IX-beta and delta-forming) [EC:1.14.99.58]
K07217	K07217; Mn-containing catalase
K07218	nosD; nitrous oxidase accessory protein
K07219	K07219; putative molybdopterin biosynthesis protein
K07220	K07220; uncharacterized protein
K07221	oprO_P; phosphate-selective porin OprO and OprP
K07222	K07222; putative flavoprotein involved in K+ transport
K07223	yfeX; porphyrinogen peroxidase [EC:1.11.1.-]
K07224	efeO; iron uptake system component EfeO
K07225	hmuS; putative hemin transport protein
K07226	hugZ, hutZ; heme iron utilization protein
K07227	chuX; heme iron utilization protein
K07228	K07228; TrkA domain protein
K07229	yqjH; ferric-chelate reductase (NADPH) [EC:1.16.1.9]
K07230	p19, ftrA; periplasmic iron binding protein
K07231	K07231; putative iron-regulated protein
K07232	CHAC, chaC; glutathione-specific gamma-glutamylcyclotransferase [EC:4.3.2.7]
K07233	pcoB, copB; copper resistance protein B
K07234	K07234; uncharacterized protein involved in response to NO
K07238	TC.ZIP, zupT, ZRT3, ZIP2; zinc transporter, ZIP family
K07239	TC.HME; heavy-metal exporter, HME family
K07240	chrA; chromate transporter
K07241	hoxN, nixA; nickel/cobalt transporter (NiCoT) family protein
K07242	K07242; putative multicomponent Na+:H+ antiporter subunit B
K07243	FTR, FTH1, efeU; high-affinity iron transporter
K07244	K07244; mgtE-like transporter
K07245	pcoD; copper resistance protein D
K07246	ttuC, dmlA; tartrate dehydrogenase/decarboxylase / D-malate dehydrogenase [EC:1.1.1.93 4.1.1.73 1.1.1.83]
K07248	aldA; lactaldehyde dehydrogenase / glycolaldehyde dehydrogenase [EC:1.2.1.22 1.2.1.21]
K07250	gabT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48]
K07251	thiK; thiamine kinase [EC:2.7.1.89]
K07253	MIF; phenylpyruvate tautomerase [EC:5.3.2.1]
K07254	atrm56; tRNA (cytidine56-2'-O)-methyltransferase [EC:2.1.1.206]
K07257	spsF; spore coat polysaccharide biosynthesis protein SpsF
K07258	dacC, dacA, dacD; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]
K07259	dacB; serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-]
K07260	vanY; zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]
K07261	mepA; penicillin-insensitive murein DD-endopeptidase [EC:3.4.24.-]
K07262	pbpG; serine-type D-Ala-D-Ala endopeptidase (penicillin-binding protein 7) [EC:3.4.21.-]
K07263	pqqL; zinc protease [EC:3.4.24.-]
K07264	arnT, pmrK; 4-amino-4-deoxy-L-arabinose transferase [EC:2.4.2.43]
K07265	kpsS, lipB; capsular polysaccharide export protein
K07266	kpsC, lipA; capsular polysaccharide export protein
K07267	oprB; porin
K07270	K07270; glycosyl transferase, family 25
K07271	licD; lipopolysaccharide cholinephosphotransferase [EC:2.7.8.-]
K07272	rgpF; rhamnosyltransferase [EC:2.4.1.-]
K07273	acm; lysozyme
K07274	mipA, ompV; MipA family protein
K07275	ompW; outer membrane protein
K07276	K07276; uncharacterized protein
K07277	SAM50, TOB55, bamA; outer membrane protein insertion porin family
K07278	tamA; translocation and assembly module TamA
K07280	K07280; outer membrane protein
K07281	ipct; 1L-myo-inositol 1-phosphate cytidylyltransferase [EC:2.7.7.74]
K07283	ydiY; putative salt-induced outer membrane protein
K07284	srtA; sortase A [EC:3.4.22.70]
K07285	slp; outer membrane lipoprotein
K07287	bamC; outer membrane protein assembly factor BamC
K07289	asmA; AsmA protein
K07290	yhjG; AsmA family protein
K07297	ADIPOR; adiponectin receptor
K07300	chaA, CAX; Ca2+:H+ antiporter
K07301	yrbG; cation:H+ antiporter
K07302	iorA; isoquinoline 1-oxidoreductase subunit alpha [EC:1.3.99.16]
K07303	iorB; isoquinoline 1-oxidoreductase subunit beta [EC:1.3.99.16]
K07304	msrA; peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]
K07305	msrB; peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]
K07307	dmsB; anaerobic dimethyl sulfoxide reductase subunit B
K07308	dmsC; anaerobic dimethyl sulfoxide reductase subunit C
K07313	pphA; serine/threonine protein phosphatase 1 [EC:3.1.3.16]
K07315	rsbU_P; phosphoserine phosphatase RsbU/P [EC:3.1.3.3]
K07316	mod; adenine-specific DNA-methyltransferase [EC:2.1.1.72]
K07317	K07317; adenine-specific DNA-methyltransferase [EC:2.1.1.72]
K07318	K07318; adenine-specific DNA-methyltransferase [EC:2.1.1.72]
K07319	yhdJ; adenine-specific DNA-methyltransferase [EC:2.1.1.72]
K07320	prmB; ribosomal protein L3 glutamine methyltransferase [EC:2.1.1.298]
K07321	cooC; CO dehydrogenase maturation factor
K07322	ytfE, scdA; regulator of cell morphogenesis and NO signaling
K07323	mlaC; phospholipid transport system substrate-binding protein
K07334	higB-1; toxin HigB-1
K07335	bmpA, bmpB, tmpC; basic membrane protein A and related proteins
K07336	K07336; PKHD-type hydroxylase [EC:1.14.11.-]
K07337	K07337; penicillin-binding protein activator
K07338	K07338; uncharacterized protein
K07339	hicA; mRNA interferase HicA [EC:3.1.-.-]
K07340	ybbJ; inner membrane protein
K07341	doc; death on curing protein
K07342	SEC61G, SSS1, secE; protein transport protein SEC61 subunit gamma and related proteins
K07343	tfoX; DNA transformation protein and related proteins
K07344	trbL; type IV secretion system protein TrbL
K07346	fimC; fimbrial chaperone protein
K07358	fimE; type 1 fimbriae regulatory protein FimE
K07386	pepO; putative endopeptidase [EC:3.4.24.-]
K07387	K07387; metalloprotease [EC:3.4.24.-]
K07389	cyaC, hlyC, rtxC; cytolysin-activating lysine-acyltransferase [EC:2.3.1.-]
K07390	grxD, GLRX5; monothiol glutaredoxin
K07391	comM; magnesium chelatase family protein
K07393	ECM4, yqjG; glutathionyl-hydroquinone reductase [EC:1.8.5.7]
K07394	K07394; SM-20-related protein
K07395	K07395; putative proteasome-type protease
K07396	K07396; putative protein-disulfide isomerase
K07397	yhfA; putative redox protein
K07398	K07398; conserved protein with predicted RNA binding PUA domain
K07399	resB, ccs1; cytochrome c biogenesis protein
K07400	nfuA; Fe/S biogenesis protein NfuA
K07401	K07401; selenoprotein W-related protein
K07402	xdhC; xanthine dehydrogenase accessory factor
K07403	nfeD; membrane-bound serine protease (ClpP class)
K07404	pgl; 6-phosphogluconolactonase [EC:3.1.1.31]
K07405	E3.2.1.1A; alpha-amylase [EC:3.2.1.1]
K07406	melA; alpha-galactosidase [EC:3.2.1.22]
K07407	E3.2.1.22B, galA, rafA; alpha-galactosidase [EC:3.2.1.22]
K07441	ALG14; beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.141]
K07442	TRM61, GCD14; tRNA (adenine57-N1/adenine58-N1)-methyltransferase catalytic subunit [EC:2.1.1.219 2.1.1.220]
K07443	ybaZ; methylated-DNA-protein-cysteine methyltransferase related protein
K07444	ypsC; putative N6-adenine-specific DNA methylase [EC:2.1.1.-]
K07445	K07445; putative DNA methylase
K07446	trm-G10; tRNA (guanine10-N2)-dimethyltransferase [EC:2.1.1.213]
K07447	ruvX; putative holliday junction resolvase [EC:3.1.-.-]
K07448	mrr; restriction system protein
K07450	K07450; putative resolvase
K07451	mcrA; 5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]
K07452	mcrB; 5-methylcytosine-specific restriction enzyme B [EC:3.1.21.-]
K07454	K07454; putative restriction endonuclease
K07455	recT; recombination protein RecT
K07456	mutS2; DNA mismatch repair protein MutS2
K07457	K07457; endonuclease III related protein
K07458	vsr; DNA mismatch endonuclease, patch repair protein [EC:3.1.-.-]
K07459	ybjD; putative ATP-dependent endonuclease of the OLD family
K07460	yraN; putative endonuclease
K07461	K07461; putative endonuclease
K07462	recJ; single-stranded-DNA-specific exonuclease [EC:3.1.-.-]
K07464	cas4; CRISPR-associated exonuclease Cas4 [EC:3.1.12.1]
K07465	K07465; putative RecB family exonuclease
K07466	RFA1, RPA1, rpa; replication factor A1
K07467	rstA1; phage replication initiation protein
K07473	dinJ; DNA-damage-inducible protein J
K07474	xtmA; phage terminase small subunit
K07477	K07477; translin
K07478	ycaJ; putative ATPase
K07480	insB; insertion element IS1 protein InsB
K07481	K07481; transposase, IS5 family
K07482	K07482; transposase, IS30 family
K07483	K07483; transposase
K07484	K07484; transposase
K07485	K07485; transposase
K07486	K07486; transposase
K07487	K07487; transposase
K07488	K07488; transposase
K07491	K07491; putative transposase
K07492	K07492; putative transposase
K07493	K07493; putative transposase
K07494	K07494; putative transposase
K07495	K07495; putative transposase
K07496	K07496; putative transposase
K07497	K07497; putative transposase
K07498	K07498; putative transposase
K07499	K07499; putative transposase
K07501	K07501; 3'-5' exonuclease
K07502	yprB; uncharacterized protein
K07503	nucS; endonuclease [EC:3.1.-.-]
K07504	K07504; predicted type IV restriction endonuclease
K07505	repA; regulatory protein RepA
K07506	K07506; AraC family transcriptional regulator
K07507	mgtC; putative Mg2+ transporter-C (MgtC) family protein
K07508	ACAA2; acetyl-CoA acyltransferase 2 [EC:2.3.1.16]
K07509	HADHB; acetyl-CoA acyltransferase [EC:2.3.1.16]
K07511	ECHS1; enoyl-CoA hydratase [EC:4.2.1.17]
K07512	MECR, NRBF1; mitochondrial enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase [EC:1.3.1.- 1.3.1.38]
K07516	fadN; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
K07517	ECI1_2; Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8]
K07518	E3.1.1.22; hydroxybutyrate-dimer hydrolase [EC:3.1.1.22]
K07533	prsA; foldase protein PrsA [EC:5.2.1.8]
K07535	badH; 2-hydroxycyclohexanecarboxyl-CoA dehydrogenase [EC:1.1.1.-]
K07536	badI; 2-ketocyclohexanecarboxyl-CoA hydrolase [EC:3.1.2.-]
K07537	dch; cyclohexa-1,5-dienecarbonyl-CoA hydratase [EC:4.2.1.100]
K07542	PIGV; GPI mannosyltransferase 2 [EC:2.4.1.-]
K07543	bbsE; benzylsuccinate CoA-transferase BbsE subunit [EC:2.8.3.15]
K07544	bbsF; benzylsuccinate CoA-transferase BbsF subunit [EC:2.8.3.15]
K07546	bbsH; E-phenylitaconyl-CoA hydratase [EC:4.2.1.-]
K07552	bcr, tcaB; MFS transporter, DHA1 family, multidrug resistance protein
K07556	ATPeAF2, ATPAF2, ATP12; ATP synthase mitochondrial F1 complex assembly factor 2
K07558	K07558, cca; tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72]
K07559	kptA; putative RNA 2'-phosphotransferase [EC:2.7.1.-]
K07560	dtd, DTD; D-aminoacyl-tRNA deacylase [EC:3.1.1.96]
K07565	NIP7; 60S ribosome subunit biogenesis protein NIP7
K07566	tsaC, rimN, SUA5; L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]
K07568	queA; S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]
K07569	gar1; RNA-binding protein
K07571	K07571; S1 RNA binding domain protein
K07572	K07572; putative nucleotide binding protein
K07573	CSL4, EXOSC1; exosome complex component CSL4
K07574	yhbY; RNA-binding protein
K07576	K07576; metallo-beta-lactamase family protein
K07577	K07577; putative mRNA 3-end processing factor
K07580	K07580; Zn-ribbon RNA-binding protein
K07581	K07581; RNA-binding protein
K07583	PUS10; tRNA pseudouridine synthase 10 [EC:5.4.99.25]
K07584	ysxB; uncharacterized protein
K07586	ygaC; uncharacterized protein
K07588	argK; LAO/AO transport system kinase [EC:2.7.-.-]
K07636	phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]
K07637	phoQ; two-component system, OmpR family, sensor histidine kinase PhoQ [EC:2.7.13.3]
K07638	envZ; two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ [EC:2.7.13.3]
K07640	cpxA; two-component system, OmpR family, sensor histidine kinase CpxA [EC:2.7.13.3]
K07641	creC; two-component system, OmpR family, sensor histidine kinase CreC [EC:2.7.13.3]
K07642	baeS, smeS; two-component system, OmpR family, sensor histidine kinase BaeS [EC:2.7.13.3]
K07644	cusS, copS, silS; two-component system, OmpR family, heavy metal sensor histidine kinase CusS [EC:2.7.13.3]
K07645	qseC; two-component system, OmpR family, sensor histidine kinase QseC [EC:2.7.13.3]
K07646	kdpD; two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]
K07649	tctE; two-component system, OmpR family, sensor histidine kinase TctE [EC:2.7.13.3]
K07653	mprB; two-component system, OmpR family, sensor histidine kinase MprB [EC:2.7.13.3]
K07654	mtrB; two-component system, OmpR family, sensor histidine kinase MtrB [EC:2.7.13.3]
K07655	prrB; two-component system, OmpR family, sensor histidine kinase PrrB [EC:2.7.13.3]
K07656	trcS; two-component system, OmpR family, sensor histidine kinase TrcS [EC:2.7.13.3]
K07657	phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB
K07659	ompR; two-component system, OmpR family, phosphate regulon response regulator OmpR
K07660	phoP; two-component system, OmpR family, response regulator PhoP
K07662	cpxR; two-component system, OmpR family, response regulator CpxR
K07663	creB; two-component system, OmpR family, catabolic regulation response regulator CreB
K07665	cusR, copR, silR; two-component system, OmpR family, copper resistance phosphate regulon response regulator CusR
K07666	qseB; two-component system, OmpR family, response regulator QseB
K07667	kdpE; two-component system, OmpR family, KDP operon response regulator KdpE
K07669	mprA; two-component system, OmpR family, response regulator MprA
K07670	mtrA; two-component system, OmpR family, response regulator MtrA
K07671	prrA; two-component system, OmpR family, response regulator PrrA
K07672	trcR; two-component system, OmpR family, response regulator TrcR
K07675	uhpB; two-component system, NarL family, sensor histidine kinase UhpB [EC:2.7.13.3]
K07678	barA, gacS, varS; two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]
K07679	evgS, bvgS; two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]
K07680	comP; two-component system, NarL family, sensor histidine kinase ComP [EC:2.7.13.3]
K07682	devS; two-component system, NarL family, sensor histidine kinase DevS [EC:2.7.13.3]
K07683	nreB; two-component system, NarL family, sensor histidine kinase NreB [EC:2.7.13.3]
K07684	narL; two-component system, NarL family, nitrate/nitrite response regulator NarL
K07687	rcsB; two-component system, NarL family, captular synthesis response regulator RcsB
K07689	uvrY, gacA, varA; two-component system, NarL family, invasion response regulator UvrY
K07691	comA; two-component system, NarL family, competent response regulator ComA
K07692	degU; two-component system, NarL family, response regulator DegU
K07693	desR; two-component system, NarL family, response regulator DesR
K07695	devR; two-component system, NarL family, response regulator DevR
K07696	nreC; two-component system, NarL family, response regulator NreC
K07699	spo0A; two-component system, response regulator, stage 0 sporulation protein A
K07705	lytT, lytR; two-component system, LytTR family, response regulator LytT
K07708	glnL, ntrB; two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL [EC:2.7.13.3]
K07711	glrK, qseE; two-component system, NtrC family, sensor histidine kinase GlrK [EC:2.7.13.3]
K07712	glnG, ntrC; two-component system, NtrC family, nitrogen regulation response regulator GlnG
K07713	zraR, hydG; two-component system, NtrC family, response regulator HydG
K07714	atoC; two-component system, NtrC family, response regulator AtoC
K07716	pleC; two-component system, cell cycle sensor histidine kinase PleC [EC:2.7.13.3]
K07720	yesN; two-component system, response regulator YesN
K07721	K07721; ArsR family transcriptional regulator
K07722	nikR; CopG family transcriptional regulator, nickel-responsive regulator
K07723	ndoAI; CopG family transcriptional regulator / antitoxin EndoAI
K07724	ner, nlp, sfsB; Ner family transcriptional regulator
K07726	K07726; putative transcriptional regulator
K07727	K07727; putative transcriptional regulator
K07729	K07729; putative transcriptional regulator
K07732	rfk; riboflavin kinase, archaea type [EC:2.7.1.161]
K07733	alpA; prophage regulatory protein
K07734	paiB; transcriptional regulator
K07735	algH; putative transcriptional regulator
K07736	carD; CarD family transcriptional regulator
K07738	nrdR; transcriptional repressor NrdR
K07739	ELP3, KAT9; elongator complex protein 3 [EC:2.3.1.48]
K07741	antB; anti-repressor protein
K07742	ylxR; uncharacterized protein
K07743	K07743; transcriptional regulator
K07746	parD1_3_4; antitoxin ParD1/3/4
K07749	frc; formyl-CoA transferase [EC:2.8.3.16]
K07755	AS3MT; arsenite methyltransferase [EC:2.1.1.137]
K07766	E3.6.1.52; diphosphoinositol-polyphosphate diphosphatase [EC:3.6.1.52]
K07768	senX3; two-component system, OmpR family, sensor histidine kinase SenX3 [EC:2.7.13.3]
K07769	nblS; two-component system, OmpR family, sensor histidine kinase NblS [EC:2.7.13.3]
K07771	basR; two-component system, OmpR family, response regulator BasR
K07774	tctD; two-component system, OmpR family, response regulator TctD
K07775	resD; two-component system, OmpR family, response regulator ResD
K07776	regX3; two-component system, OmpR family, response regulator RegX3
K07777	degS; two-component system, NarL family, sensor histidine kinase DegS [EC:2.7.13.3]
K07778	desK; two-component system, NarL family, sensor histidine kinase DesK [EC:2.7.13.3]
K07787	cusA, silA; copper/silver efflux system protein
K07788	mdtB; multidrug efflux pump
K07789	mdtC; multidrug efflux pump
K07793	tctA; putative tricarboxylic transport membrane protein
K07794	tctB; putative tricarboxylic transport membrane protein
K07795	tctC; putative tricarboxylic transport membrane protein
K07798	cusB, silB; membrane fusion protein, copper/silver efflux system
K07799	mdtA; membrane fusion protein, multidrug efflux system
K07803	zraP; zinc resistance-associated protein
K07806	arnB, pmrH; UDP-4-amino-4-deoxy-L-arabinose-oxoglutarate aminotransferase [EC:2.6.1.87]
K07807	K07807; uncharacterized protein
K07810	cusF; Cu(I)/Ag(I) efflux system periplasmic protein CusF
K07814	K07814; putative two-component system response regulator
K07816	E2.7.6.5X; putative GTP pyrophosphokinase [EC:2.7.6.5]
K07978	plmA; GntR family transcriptional regulator
K07979	ytrA; GntR family transcriptional regulator
K08068	siaA, neuC1; UDP-N-acetylglucosamine 2-epimerase (hydrolysing) [EC:3.2.1.183]
K08070	E1.3.1.74; 2-alkenal reductase [EC:1.3.1.74]
K08081	TR1; tropinone reductase I [EC:1.1.1.206]
K08082	algZ; two-component system, LytTR family, sensor histidine kinase AlgZ [EC:2.7.13.3]
K08083	algR; two-component system, LytTR family, response regulator AlgR
K08084	fimT; type IV fimbrial biogenesis protein FimT
K08086	fimV; pilus assembly protein FimV
K08092	dlgD; 3-dehydro-L-gulonate 2-dehydrogenase [EC:1.1.1.130]
K08093	hxlA; 3-hexulose-6-phosphate synthase [EC:4.1.2.43]
K08094	hxlB; 6-phospho-3-hexuloisomerase [EC:5.3.1.27]
K08095	E3.1.1.74; cutinase [EC:3.1.1.74]
K08096	gch3; GTP cyclohydrolase IIa [EC:3.5.4.29]
K08097	comA; phosphosulfolactate synthase [EC:4.4.1.19]
K08137	galP; MFS transporter, SP family, galactose:H+ symporter
K08139	HXT; MFS transporter, SP family, sugar:H+ symporter
