	11B-T1-3	11B-T1-6	11B-T1-9	8-T1-3	8-T1-6	8-T1-9	Ex45-T1-3	Ex45-T1-6	Ex45-T1-9	HP-T1-3	HP-T1-6	HP-T1-9	RC-T1-3	RC-T1-6	RC-T1-9	RP-T1-3	RP-T1-6	RP-T1-9	SC-T1-3	SC-T1-6	SC-T1-9	UAB-T1-3	UAB-T1-6	UAB-T1-9
Secondary metabolism	3062	3578	2693	2845	1885	3123	3078	3274	2038	4275	4375	5197	2331	2095	1918	14031	9602	6152	6513	3550	4150	3033	6881	3793
Amino acid metabolism	5112	5277	3000	4879	2393	6240	3936	4253	3451	7813	9761	9712	3460	2946	3144	22843	12378	8813	6759	5469	5513	4327	11586	6028
Antigen processing and presentation	1776	1552	1435	1337	972	2032	1307	1556	745	843	2513	787	2196	1633	1645	3444	2317	1315	2680	1772	935	1012	3698	1836
Th17 cell differentiation	1776	1552	1435	1337	972	2032	1307	1556	745	843	2513	787	2196	1633	1645	3444	2317	1315	2680	1772	935	1012	3698	1836
IL-17 signaling pathway	1776	1552	1435	1337	972	2032	1307	1556	745	843	2513	787	2196	1633	1645	3444	2317	1315	2680	1772	935	1012	3698	1836
Estrogen signaling pathway	1776	1552	1435	1337	972	2032	1307	1556	745	843	2513	787	2196	1633	1645	3444	2317	1315	2680	1772	935	1012	3698	1836
Progesterone-mediated oocyte maturation	1776	1552	1435	1337	972	2032	1307	1556	745	843	2513	787	2196	1633	1645	3444	2317	1315	2680	1772	935	1012	3698	1836
Prostate cancer	1776	1552	1435	1337	972	2032	1307	1556	745	843	2513	787	2196	1633	1645	3444	2317	1315	2680	1772	935	1012	3698	1836
Wnt signaling pathway	0	0	0	0	0	1	0	0	27	5	6	67	3	6	0	106	25	12	0	0	0	2	1	0
Notch signaling pathway	0	0	0	0	0	1	0	0	0	5	6	67	2	0	0	106	25	11	0	0	0	0	0	0
Chronic myeloid leukemia	0	0	0	0	0	1	0	0	0	5	6	67	2	0	0	106	25	11	0	0	0	0	0	0
MAPK signaling pathway - fly	2448	3100	2310	2456	1552	3346	1904	2671	2164	3069	3799	2803	1574	1186	1687	8756	4211	3065	3490	3446	3722	2401	4705	2566
Tight junction	18	129	255	77	116	201	74	113	325	165	167	28	0	1	0	451	0	89	62	165	237	102	83	54
Hepatitis B	897	702	555	470	293	606	458	471	534	746	971	579	353	218	315	2706	1595	785	659	640	559	332	1432	574
Isoflavonoid biosynthesis	1142	1034	462	836	295	1133	700	704	335	1695	1152	1611	577	376	568	3531	3805	2105	1289	1060	641	951	2554	1408
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	20	36	2	1	0	3	2	0	1	4	5	4	0	0	0	105	0	3	38	0	0	11	44	24
Biosynthesis of type II polyketide backbone	0	23	29	17	564	209	3	3	13	83	6	1	22	8	22	9	2	35	106	63	57	3	18	9
Tetracycline biosynthesis	271	514	366	273	889	923	511	455	376	458	238	247	891	197	562	1902	543	453	1283	1017	1074	443	733	433
Biosynthesis of type II polyketide products	1910	1875	1341	1525	1320	2577	1770	1728	1305	3262	1835	2461	1983	1064	1643	10024	6076	3721	4264	2667	2163	1537	3983	2044
Gastric cancer	0	1	24	9	483	198	0	0	0	1	263	29	32	10	4	1	2	0	2	2	1	0	0	1
Rap1 signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
Regulation of actin cytoskeleton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
Neuroactive ligand-receptor interaction	902	572	223	628	86	349	520	371	257	689	938	652	383	171	135	4294	3277	1931	492	362	376	476	1795	900
Cholesterol metabolism	902	572	223	628	86	349	520	371	257	689	938	652	383	171	135	4294	3277	1931	492	362	376	476	1795	900
Bisphenol degradation	561	682	644	704	342	588	635	619	562	783	563	893	308	313	295	2035	828	733	887	749	779	608	1235	629
Cytochrome P450	2705	2022	967	1824	984	1284	1678	1416	651	2880	3602	3120	3224	3269	2113	6332	7275	4663	3995	771	725	1451	4710	2170
Cell growth	14080	19650	22884	16021	8101	19828	15166	20877	9404	21056	29263	39321	14384	9199	9725	65774	35260	23338	24484	25030	17732	13064	32457	19390
Hedgehog signaling pathway	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0
Hedgehog signaling pathway - fly	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0
Basal cell carcinoma	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0
ECM-receptor interaction	0	0	0	1	0	0	0	1	1	4	2	1	0	0	0	16	12	29	0	0	0	0	0	0
Mineral absorption	4154	3785	1852	3043	1287	1984	3011	2377	1539	9577	8222	11401	921	553	763	29284	19307	11518	5347	2925	3173	2897	7708	4465
Cell motility	747	720	397	1830	375	1029	636	546	546	1819	1006	1010	412	194	516	3127	1210	724	587	653	455	529	1393	813
Phagosome	14	53	214	16	65	137	17	73	16	3	14	1	0	0	0	10	0	0	53	34	17	51	41	29
Vibrio cholerae infection	14	53	214	16	65	163	17	73	16	3	14	50	0	0	0	10	0	0	53	34	17	51	26	29
Pertussis	473	360	173	1177	112	646	197	149	117	190	850	539	530	148	407	3430	1337	500	481	250	155	172	712	304
Glycosphingolipid biosynthesis - globo and isoglobo series	3390	4617	2000	2777	1456	4258	2356	2588	1903	3888	2963	3936	1979	1897	2367	16817	9634	4632	7552	2600	2241	2914	9134	4651
Fanconi anemia pathway	147	176	256	93	99	180	111	145	213	143	152	205	0	1	0	446	2	90	54	332	491	128	142	70
Translation	1079	963	1030	562	487	1695	676	920	1179	1554	2006	1295	751	246	397	7247	2680	1532	1103	1369	1376	639	1723	791
Lipoarabinomannan (LAM) biosynthesis	5347	5633	3546	4211	3519	4684	3806	3932	1938	9274	13137	18412	10171	8694	5943	32580	29325	17922	13381	4214	3478	4465	12779	6586
Autophagy - other	4	0	0	1	1	0	0	1	1	0	2066	2	0	0	0	0	0	0	3	0	3	1	15	1
Kaposi sarcoma-associated herpesvirus infection	883	573	300	393	177	405	384	358	209	581	804	551	353	217	315	2255	1595	696	597	475	322	230	1349	520
Apoptosis - multiple species	879	573	300	393	177	405	384	358	209	581	804	551	353	217	315	2255	1595	696	597	475	322	230	1349	520
p53 signaling pathway	884	573	301	393	177	405	384	359	209	583	806	557	413	306	392	2269	1660	701	597	475	322	230	1350	520
Colorectal cancer	879	573	300	393	177	405	384	358	209	581	804	551	353	217	315	2255	1595	696	597	475	322	230	1349	520
Small cell lung cancer	879	573	300	393	177	405	384	358	209	581	804	551	353	217	315	2255	1595	696	597	475	322	230	1349	520
Viral myocarditis	879	573	300	393	177	405	384	358	209	581	804	551	353	217	315	2255	1595	696	597	475	322	230	1349	520
Human immunodeficiency virus 1 infection	879	573	300	393	177	405	384	358	209	581	804	551	353	217	315	2255	1595	696	597	475	322	230	1349	520
Human cytomegalovirus infection	879	573	300	393	177	405	384	358	209	581	804	551	353	217	315	2255	1595	696	597	475	322	230	1349	520
Toxoplasmosis	879	573	300	393	177	405	384	358	209	581	804	551	353	217	315	2255	1595	696	597	475	322	230	1349	520
Mitophagy - yeast	0	0	2	2	0	0	7	1	3	31	655	499	0	0	0	141	1	37	3	7	13	2	16	2
Lipid metabolism	2297	1853	1205	1289	975	1424	1289	1222	815	2994	2114	3220	2001	2031	1367	4073	5810	3420	2847	1365	1025	1491	3377	1745
Vasopressin-regulated water reabsorption	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
Spliceosome	9	18	8	9	11	79	10	23	21	6	679	6	1	27	0	42	0	8	6	35	26	20	126	17
Systemic lupus erythematosus	168	279	287	235	376	1217	296	376	431	194	819	352	116	63	86	1798	549	338	574	678	522	351	478	372
Transcriptional misregulation in cancer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0
Glycosphingolipid biosynthesis - ganglio series	922	1298	575	623	576	2261	638	783	1032	1618	750	822	342	379	716	4540	2801	1342	1871	987	716	815	2495	1029
Cutin, suberine and wax biosynthesis	293	504	397	687	583	1174	837	945	1118	3169	2579	4552	390	359	672	7419	1946	2071	1548	1351	2157	941	1871	959
Bacterial invasion of epithelial cells	23	50	79	48	42	19	25	33	8	41	701	67	0	0	162	405	279	32	38	16	7	32	76	67
Yersinia infection	0	1	0	0	0	0	0	0	2	38	334	65	0	0	0	297	255	31	1	1	0	1	0	0
Staurosporine biosynthesis	74	155	154	102	344	235	243	93	55	129	332	328	646	87	353	777	978	391	660	80	44	57	441	114
Osteoclast differentiation	21	54	11	183	38	305	62	46	76	20	205	105	0	1	73	950	273	165	20	184	79	35	81	59
Rheumatoid arthritis	21	54	11	183	38	305	62	46	76	20	205	105	0	1	73	950	273	165	20	184	79	35	81	59
Cholinergic synapse	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biosynthesis of enediyne antibiotics	1839	4582	3506	2947	2567	8047	5465	5533	5027	6508	3868	3314	5725	1906	4828	25997	7672	6602	7787	7791	6203	3707	6254	3065
Type I polyketide structures	56	305	96	89	71	113	290	151	172	349	568	348	343	164	258	1259	169	263	848	203	321	112	134	80
TNF signaling pathway	0	4	2	5	2	0	3	6	0	0	0	0	55	13	13	0	0	0	1	0	1	5	28	8
Mitophagy - animal	0	4	2	5	2	0	3	6	0	0	0	0	55	13	13	0	0	0	1	0	1	5	28	8
Furfural degradation	88	318	486	238	190	307	466	618	494	504	278	113	65	78	105	1050	42	234	2093	1253	1615	418	409	259
Viral proteins	42	37	28	33	4	60	79	54	17	40	300	208	3	0	0	232	583	288	59	26	29	14	92	20
